GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,368.3771,1113.1639,802.5322,0.0,0.0,0.0,-1027.9451,-9169.6753,482.4218,5319.3554,-1533.635,51.51077064,-2111.7700000000004,-1482.12422936,-3593.8942293600007
1,403.7869,1046.7973,815.3738,0.0,0.0,0.0,-1030.9528,-9166.4203,483.6427,5353.1622,-1556.7638,53.23678056,-2094.6102,-1503.52701944,-3598.1372194399996
2,379.8185,1053.7328,824.4455,0.0,0.0,0.0,-1018.9617,-9177.8118,478.9406,5320.0214,-1528.6647,53.2857096,-2139.8147,-1475.3789904,-3615.1936904000004
3,418.6447,1086.9291,822.92,0.0,0.0,0.0,-1005.3371,-9120.6403,478.0656,5349.2676,-1617.111,53.576517599999995,-1970.1503999999986,-1563.5344824000001,-3533.6848823999985
4,399.0722,1090.0767,822.236,0.0,0.0,0.0,-1029.8036,-9019.7878,474.0669,5340.2019,-1668.5774,52.579326959999996,-1923.9377000000004,-1615.99807304,-3539.9357730400006
5,409.3766,1098.8099,818.3661,0.0,0.0,0.0,-1011.5223,-9082.1117,465.0875,5295.536,-1613.6406,51.916158,-2006.4578999999994,-1561.724442,-3568.182341999999
6,380.1631,1077.9208,825.1207,0.0,0.0,0.0,-1029.6063,-9031.0623,478.9258,5337.3243,-1663.6241,53.40562848,-1961.2138999999997,-1610.21847152,-3571.43237152
7,422.7736,1048.4437,826.3384,0.0,0.0,0.0,-1002.2972,-9041.768,472.1,5291.4123,-1627.7793,51.799029839999996,-1982.9971999999998,-1575.98027016,-3558.97747016
8,426.6113,1079.8626,798.731,0.0,0.0,0.0,-995.128,-8987.4789,484.1558,5305.667,-1703.595,54.11835215999999,-1887.5791999999992,-1649.47664784,-3537.0558478399994
9,415.6467,1083.6577,826.2221,0.0,0.0,0.0,-1029.0563,-9059.5662,474.2696,5328.3045,-1664.7503,52.768856879999994,-1960.5218999999997,-1611.98144312,-3572.5033431199995
10,386.4183,1039.3956,812.1015,0.0,0.0,0.0,-1001.7507,-9055.108,480.3817,5319.0417,-1640.9144,54.42034968,-2019.5199000000011,-1586.4940503199998,-3606.0139503200007
11,428.263,1046.0355,825.5179,0.0,0.0,0.0,-1030.9528,-8940.8968,481.7648,5287.6875,-1730.4199,52.31125152,-1902.5809000000008,-1678.10864848,-3580.6895484800007
12,416.022,1085.8103,812.267,0.0,0.0,0.0,-1006.6994,-9068.5426,487.1846,5329.9736,-1632.2507,52.985301119999995,-1943.9845000000005,-1579.26539888,-3523.2498988800007
13,399.1092,1094.1495,813.6511,0.0,0.0,0.0,-1033.1598,-9073.6349,474.7127,5316.7751,-1639.9608,54.29660976,-2008.3970999999992,-1585.6641902400002,-3594.061290239999
14,421.9439,1043.4546,824.7118,0.0,0.0,0.0,-1027.4778,-9028.318,455.4953,5264.8078,-1634.0096,52.8099084,-2045.3823999999995,-1581.1996916,-3626.5820916
15,394.2783,1073.8267,803.3617,0.0,0.0,0.0,-1023.6344,-8950.2694,471.5066,5310.9783,-1739.9715,53.40967488,-1919.9521999999997,-1686.56182512,-3606.51402512
16,441.8285,1054.114,786.6996,0.0,0.0,0.0,-1020.8848,-9015.7294,487.5341,5345.0365,-1697.2838,53.0434152,-1921.4015,-1644.2403848,-3565.6418848000003
17,376.4206,1088.7731,816.6092,0.0,0.0,0.0,-1043.6069,-8987.8275,478.1389,5302.1488,-1670.4018,52.61641416,-1969.3437999999996,-1617.7853858400001,-3587.1291858399995
18,381.3756,1062.9067,835.3868,0.0,0.0,0.0,-1041.2796,-8978.842,486.5996,5306.6044,-1680.8438,53.0302824,-1947.2484999999997,-1627.8135176,-3575.0620175999998
19,392.2264,1050.204,827.6686,0.0,0.0,0.0,-1042.9981,-9061.7869,469.5107,5318.4362,-1611.2799,53.8313796,-2046.7390999999989,-1557.4485204,-3604.1876203999987
20,416.8799,1019.8795,844.7445,0.0,0.0,0.0,-1053.2143,-9009.9463,487.1687,5325.9939,-1658.7509,52.06889448,-1968.494099999999,-1606.68200552,-3575.176105519999
21,419.7588,1054.3851,812.3757,0.0,0.0,0.0,-1026.681,-9042.1518,488.4811,5363.4163,-1652.1662,53.28194976,-1930.4157999999998,-1598.8842502399998,-3529.3000502399996
22,394.6589,1060.9671,824.5554,0.0,0.0,0.0,-1027.2356,-9038.5139,471.857,5343.3231,-1679.3102,52.796394719999995,-1970.388,-1626.5138052799998,-3596.9018052799997
23,393.1772,1092.5923,817.5021,0.0,0.0,0.0,-999.3099,-9027.7859,489.7782,5334.0151,-1678.349,54.171154079999994,-1900.0309000000016,-1624.17784592,-3524.2087459200015
24,394.2778,1019.932,816.3376,0.0,0.0,0.0,-999.5448,-8954.0396,495.4789,5309.9769,-1726.4112,54.68543352,-1917.5812000000005,-1671.72576648,-3589.3069664800005
25,395.5561,1029.5814,817.5434,0.0,0.0,0.0,-1024.657,-9018.1498,477.8571,5334.1315,-1670.2912,53.46070992,-1988.1372999999985,-1616.83049008,-3604.967790079998
26,389.3325,1046.769,836.1083,0.0,0.0,0.0,-1032.3427,-8987.7908,485.7763,5319.874,-1689.2317,53.14818888,-1942.2734,-1636.0835111200001,-3578.3569111200004
